Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
TORSO,-0.0020565,-4.5533E-05,-0.17362,0,0,0,19.704,0.19754,-1.0361E-08,-0.00058652,0.13751,-2.1871E-05,0.077326,0,0,0,0,0,0,package://RX-JUNE2/meshes/TORSO.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/TORSO.STL,,TORSO-1/RX-01-02-01 电池托架 -1;TORSO-1/右臂-肩部固定法兰盘-1;TORSO-1/B型号关节V1.2-stp格式-3;TORSO-1/B型号关节V1.2-stp格式-2;TORSO-1/左臂-肩部固定法兰盘-2;TORSO-1/RX-01-01-21 编码器盖-1;TORSO-1/内六角圆柱头螺钉 M5×10-1;TORSO-1/电机定子 85-1;TORSO-1/内六角圆柱头螺钉 M3×8-7;TORSO-1/WK5003 85电机壳-1;TORSO-1/KCD-BC01B-1617-U01X-JAQ-1;TORSO-1/交叉滚子轴承-CRBS608-1;TORSO-1/WK5026 85行星架-1;TORSO-1/WK4B14 腰减速壳-1;TORSO-1/RX-01-03-03 电池壳-1;TORSO-1/RX-01-03-07 颈部软胶-1;TORSO-1/RX-01-03-06 颈部支架-1;TORSO-1/RX-01-03-05 肩后壳-1;TORSO-1/RX-01-03-04 肩前壳-1;TORSO-1/RX-01-03-02 后壳-1;TORSO-1/RX-01-03-01 前壳-1;TORSO-1/RX-01-01-13 腰部限位-2;TORSO-1/RX-01-01-13 腰部限位-1;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M3×6-8;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M3×6-7;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M3×6-6;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M3×6-5;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M3×6-4;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M3×6-3;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M3×6-2;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M3×6-1;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M2×6-4;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M2×6-3;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M2×6-2;TORSO-1/GB／T70．1-2000内六角圆柱头螺钉M2×6-1;TORSO-1/Debug_Interface_V1.0_20240410_2051.step-1;TORSO-1/USB插头-2;TORSO-1/HDMI插头-2;TORSO-1/大开关v1-1;TORSO-1/D19急停开关X-1;TORSO-1/RX-01-01-12 面板支架-1;TORSO-1/USB插头-1;TORSO-1/HDMI插头-1;TORSO-1/RX-01-01-11 相机支架2-1;TORSO-1/IMU采集模块_第一版.step-1;TORSO-1/小陀螺仪-2;TORSO-1/RX-01-01-14 颈部限位块-2;TORSO-1/RX-01-01-14 颈部限位块-1;TORSO-1/RX-01-01-10 相机支架1-1;TORSO-1/铜柱3X20-6;TORSO-1/铜柱3X20-4;TORSO-1/铜柱3X20-2;TORSO-1/铜柱3X20-1;TORSO-1/T型尼龙垫TW-3-30;TORSO-1/T型尼龙垫TW-3-29;TORSO-1/T型尼龙垫TW-3-28;TORSO-1/T型尼龙垫TW-3-27;TORSO-1/T型尼龙垫TW-3-25;TORSO-1/T型尼龙垫TW-3-24;TORSO-1/T型尼龙垫TW-3-23;TORSO-1/T型尼龙垫TW-3-22;TORSO-1/T型尼龙垫TW-3-21;TORSO-1/T型尼龙垫TW-3-19;TORSO-1/T型尼龙垫TW-3-16;TORSO-1/T型尼龙垫TW-3-14;TORSO-1/T型尼龙垫TW-3-11;TORSO-1/T型尼龙垫TW-3-10;TORSO-1/T型尼龙垫TW-3-9;TORSO-1/T型尼龙垫TW-3-1;TORSO-1/RX-01-01-05 颈部支架-1;TORSO-1/运动控制器PICOv1-1-1;TORSO-1/D1型号关节V1-1-1;TORSO-1/内六角圆柱头螺钉M3×10-2;TORSO-1/内六角圆柱头螺钉M3×10-1;TORSO-1/管卡18.5-4;TORSO-1/RX-01-01-04 固线块-1;TORSO-1/管卡18.5-1;TORSO-1/RX-01-01-03 后壳-2;TORSO-1/RX-01-01-01 前壳-2;TORSO-1/RX-01-01-02 中框-1;TORSO-1/NVIDIA JETSON AGX ORIN-11-1;TORSO-1/D435-2;TORSO-1/D435-1;TORSO-1/GB／T70．2-2000内六角平圆头螺钉M3×10-6;TORSO-1/GB／T70．2-2000内六角平圆头螺钉M3×10-4;TORSO-1/GB／T70．2-2000内六角平圆头螺钉M3×10-2;TORSO-1/GB／T70．2-2000内六角平圆头螺钉M3×10-1;TORSO-1/RX-01-02-02 电池卡轴-2;TORSO-1/内六角圆柱头螺钉 M3×8-2;TORSO-1/内六角圆柱头螺钉 M3×8-1;TORSO-1/RX-01-02-02 电池卡轴-1;TORSO-1/内六角圆柱头螺钉 M3×8-6;TORSO-1/内六角圆柱头螺钉 M3×8-5;TORSO-1/内六角圆柱头螺钉 M3×8-4;TORSO-1/内六角圆柱头螺钉 M3×8-3;TORSO-1/RX-01-02-05 电池底托-1;TORSO-1/RX-01-02-04 电池底盖 -1;TORSO-1/RX-01 电池包-1;TORSO-1/JYL3-电池灯板-1;TORSO-1/1CA5-B03D- 电池拉手-1;TORSO-1/JYL3-电池开关按键-1;TORSO-1/1CA5-B04B-电池轴扣-2;TORSO-1/1CA5-B04B-电池轴扣-1;TORSO-1/JYL3_BATF-1;TORSO-1/JYL3_BATM-1;TORSO-1/RX-01-02-03 电池上盖-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
SCAPULA_R,0.00400566910493358,-0.0697846247959809,-0.000414011813224091,0,0,0,1.26951093509678,0.00112371971521831,3.74870820744842E-05,-2.33284114280714E-06,0.000718251856700767,7.18016268839421E-06,0.000737853042650039,0,0,0,0,0,0,package://RX-JUNE2/meshes/SCAPULA_R.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/SCAPULA_R.STL,,RA-1-1/B型号关节-机械臂微改版-stp-1;RA-1-1/右臂-肩俯仰结构件-1,RArm Frame1,RArm Axis1,Shoulder_Y_R,revolute,-0.0013872,-0.15869,-0.046603,-0.34907,0,0,TORSO,0,1,0,54.67,4.58,-3.14,1.22,,,,,,,,
SHOULDER_R,-0.000187387954732679,-0.000796213076175029,-0.0823834087759314,0,0,0,1.38176034538629,0.000907831618421101,1.33794999164044E-06,-0.00012793866706995,0.000897313398938839,-2.2869794865568E-05,0.00105001905390706,0,0,0,0,0,0,package://RX-JUNE2/meshes/SHOULDER_R.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/SHOULDER_R.STL,,RA-2-1/B型号关节V1.2-stp格式-1;RA-2-1/右臂-肩滚动结构件-盖板-1;RA-2-1/右臂-肩滚动结构件-主体-1;RA-2-1/右臂-肩滚动结构件-随动件-1;RA-2-1/大臂旋转环-1,RArm Frame2,RArm Axis2,Shoulder_X_R,revolute,0,-0.075202,0,0.34907,0,0,SCAPULA_R,1,0,0,54.67,4.58,-2.26,0,,,,,,,,
UPPERARM_R,-0.000150427974589584,-0.0013837454771512,-0.119529310769545,0,0,0,1.15167917389116,0.000782086826392558,-1.0982542308393E-06,2.26333063594384E-06,0.000984131577588171,7.04732391704632E-06,0.000773763892049867,0,0,0,0,0,0,package://RX-JUNE2/meshes/UPPERARM_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/UPPERARM_R.STL,,RA-3-1/大臂上结构件-1;RA-3-1/上臂外观包覆套-1;RA-3-1/M2.5-14铜螺柱-4;RA-3-1/M2.5-14铜螺柱-3;RA-3-1/M2.5-14铜螺柱-2;RA-3-1/M2.5-14铜螺柱-1;RA-3-1/SaFT LS14250-1;RA-3-1/Drive_interface_4_V1.0(1)-1;RA-3-1/肘关节线缆压片-1;RA-3-1/肘关节轴承支承盘-1;RA-3-1/E型号关节V1.0-手臂-1;RA-3-1/右臂-大臂下结构件-1,RArm Frame3,RArm Axis3,Shoulder_Z_R,revolute,-1E-05,0,-0.0845,0,0,0,SHOULDER_R,0,0,1,54.67,4.58,-2.09,2.09,,,,,,,,
FOREARM_R,-0.000517598306802938,0.000475828274850459,-0.0750122217350255,0,0,0,0.964265226005386,0.000488443251396073,6.39889499381973E-06,-1.25496213033476E-06,0.000446628922602063,6.28244649644682E-05,0.000598347265795892,0,0,0,0,0,0,package://RX-JUNE2/meshes/FOREARM_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/FOREARM_R.STL,,RA-4-1/右臂-肘俯仰结构件-主体-1;RA-4-1/C型号关节V1.1-1;RA-4-1/C-SE676ZZ.stp-1;RA-4-1/右臂-肘俯仰结构件-随动-1;RA-4-1/右臂-肘俯仰结构件-盖板-1,RArm Frame4,RArm Axis4,Elbow_R,revolute,0,0,-0.1455,0,0,0,UPPERARM_R,0,1,0,33,7.17,-1.57,0,,,,,,,,
WRIST_REVOLUTE_R,0.000431441811552552,-0.000950548685657721,-0.105249650721468,0,0,0,0.807080212201238,0.00075343206197932,-1.31597600320529E-06,-1.52434071635432E-06,0.000794967345688235,-2.53133377865335E-05,0.000629235876897001,0,0,0,0,0,0,package://RX-JUNE2/meshes/WRIST_REVOLUTE_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/WRIST_REVOLUTE_R.STL,,RA-5-1/小臂上结构件-1;RA-5-1/C-SE676ZZ.stp-1;RA-5-1/B6700.stp-1;RA-5-1/右臂-小臂包覆外观-1;RA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-8;RA-5-1/M2-5铜螺柱-4;RA-5-1/SaFT LS14250-1;RA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-7;RA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-6;RA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-5;RA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-4;RA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-3;RA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-2;RA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-1;RA-5-1/M2-5铜螺柱-3;RA-5-1/M2-5铜螺柱-2;RA-5-1/M2-5铜螺柱-1;RA-5-1/M2-4铜螺柱-4;RA-5-1/M2-4铜螺柱-3;RA-5-1/M2-4铜螺柱-2;RA-5-1/M2-4铜螺柱-1;RA-5-1/Drive_Interface_3_V1.0(3).step-1;RA-5-1/Drive_module_4_V1.0.step-1;RA-5-1/Ethercat_Converter_V1.1.step-1;RA-5-1/右臂-腕俯仰结构件-连杆盖板-1;RA-5-1/腕俯仰连杆组合体-1;RA-5-1/腕俯仰结构件-盖板-1;RA-5-1/右臂-连杆传动盘-1;RA-5-1/右臂-腕俯仰结构件-随动-1;RA-5-1/D1型号关节V1.1-微改版-1;RA-5-1/右臂-腕俯仰结构件-主体-1,RArm Frame5,RArm Axis5,Wrist_Z_R,revolute,0,0,-0.068424,0,0,0,FOREARM_R,0,0,1,15,4.58,-2.96,2.96,,,,,,,,
WRIST_UPDOWN_R,0.0012106037788502,-0.000409146062765847,-2.30692765414986E-05,0,0,0,0.300585798923164,7.19512926025205E-05,-1.5038820487215E-07,-3.31399908676816E-08,4.18864352400047E-05,1.61671879913588E-07,4.61837999641859E-05,0,0,0,0,0,0,package://RX-JUNE2/meshes/WRIST_UPDOWN_R.STL,0.811764705882353,1,0.980392156862745,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/WRIST_UPDOWN_R.STL,,RA-6-1/腕关节俯仰随动盘-1;RA-6-1/腕关节轴承支承盘-1;RA-6-1/右臂-腕滚动关节安装支架-1;RA-6-1/D1型号关节V1.1-微改版-1,RArm Frame6,RArm Axis6,Wrist_Y_R,revolute,0,0,-0.20158,0,0,0,WRIST_REVOLUTE_R,0,1,0,7,3.62,-0.87,0.87,,,,,,,,
HAND_R,0.00704233256805226,-0.000160093721480153,-0.12352503949791,0,0,0,0.664607012887281,0.000207221990681713,-1.41468504761944E-06,9.32067541347773E-06,0.000321646726855516,-1.39063938994495E-06,0.000178293116491457,0,0,0,0,0,0,package://RX-JUNE2/meshes/HAND_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/HAND_R.STL,,RA-7-1/右臂-腕滚动结构件-主体-1;RA-7-1/右臂-腕滚动结构件-随动-1;RA-7-1/Force Sensor0412-1;RA-7-1/传感器转接件-1;RA-7-1/C-SE676ZZ.stp-1;RA-7-1/力传感器端子5011893010-1;RA-7-1/六维力数据采集板-1;RA-7-1/腕滚动结构件-盖板-1;灵巧手 右手-2,RArm Frame7,RArm Axis7,Wrist_X_R,revolute,0,0,0,0,0,0,WRIST_UPDOWN_R,1,0,0,7,3.62,-0.87,1.57,,,,,,,,
SCAPULA_L,0.00400263772227397,0.0697880160520229,0.000251205468202231,0,0,0,1.26939754547978,0.00112369796667095,-3.75018695498686E-05,-1.6783465027888E-06,0.000718088850587134,-1.13508606956694E-06,0.000737656818677833,0,0,0,0,0,0,package://RX-JUNE2/meshes/SCAPULA_L.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/SCAPULA_L.STL,,LA-1-1/B型号关节-机械臂微改版-stp-1;LA-1-1/左臂-肩俯仰结构件-1,LArm Frame1,LArm Axis1,Shoulder_Y_L,revolute,-0.0013872,0.15869,-0.046603,0.34907,0,0,TORSO,0,1,0,54.67,4.58,-1.22,3.14,,,,,,,,
SHOULDER_L,-0.000181357466442447,0.000167995164752133,-0.082367684836536,0,0,0,1.38240689883825,0.000907897029312232,4.63464970712932E-06,-0.000127975459360198,0.000897512609693668,2.2061814766511E-05,0.00105011491370679,0,0,0,0,0,0,package://RX-JUNE2/meshes/SHOULDER_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/SHOULDER_L.STL,,LA-2-1/左臂-肩滚动结构件-随动件-1;LA-2-1/B型号关节V1.2-stp格式-1;LA-2-1/左臂-肩滚动结构件-主体-1;LA-2-1/左臂-肩滚动结构件-盖板-1;LA-2-1/线缆压块-1;LA-2-1/大臂旋转环-1,LArm Frame2,LArm Axis2,Shoulder_X_L,revolute,0,0.075202,0,-0.34907,0,0,SCAPULA_L,1,0,0,54.67,4.58,0,2.26,,,,,,,,
UPPERARM_L,7.48440000580969E-05,0.000973181848945098,-0.119564156853037,0,0,0,1.15205466163188,0.000781962619656341,-9.11957108031183E-07,-1.73094434321531E-06,0.000983885738872961,-7.90614947522502E-06,0.000773620767462948,0,0,0,0,0,0,package://RX-JUNE2/meshes/UPPERARM_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/UPPERARM_L.STL,,LA-3-1/左臂-大臂下结构件-1;LA-3-1/大臂上结构件-1;LA-3-1/M2.5-14铜螺柱-4;LA-3-1/M2.5-14铜螺柱-3;LA-3-1/M2.5-14铜螺柱-2;LA-3-1/M2.5-14铜螺柱-1;LA-3-1/上臂外观包覆套-1;LA-3-1/C-SE676ZZ.stp-1;LA-3-1/肘关节轴承支承盘-1;LA-3-1/E型号关节V1.0-手臂-1;LA-3-1/SaFT LS14250-1;LA-3-1/Drive_interface_4_V1.0(1)-1,LArm Frame3,LArm Axis3,Shoulder_Z_L,revolute,0,0,-0.0845,0,0,0,SHOULDER_L,0,0,1,54.67,4.58,-2.09,2.09,,,,,,,,
FOREARM_L,-0.00053880141083168,0.000598633712610014,-0.0750633848858426,0,0,0,0.962923504066897,0.000487547441857706,5.25652931481334E-07,-1.42498808842309E-06,0.000445933262220285,-6.19580181778229E-05,0.000596900734123166,0,0,0,0,0,0,package://RX-JUNE2/meshes/FOREARM_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/FOREARM_L.STL,,LA-4-1/左臂-肘俯仰结构件-随动-1;LA-4-1/C型号关节V1.1-1;LA-4-1/肘关节线缆压片-1;LA-4-1/左臂-肘俯仰结构件-盖板-1;LA-4-1/左臂-肘俯仰结构件-主体-1,LArm Frame4,LArm Axis4,Elbow_L,revolute,0,0,-0.1455,0,0,0,UPPERARM_L,0,1,0,33,7.17,-1.57,0,,,,,,,,
WRIST_REVOLUTE_L,0.000421442405164577,0.000436043607219078,-0.106091587175541,0,0,0,0.816182731607584,0.000755862891225662,-8.78296576389677E-07,-1.58827367089408E-06,0.000796485170899301,3.1897646062591E-05,0.000631282240343191,0,0,0,0,0,0,package://RX-JUNE2/meshes/WRIST_REVOLUTE_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/WRIST_REVOLUTE_L.STL,,LA-5-1/左臂-腕俯仰结构件-主体-1;LA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-8;LA-5-1/M2-5铜螺柱-4;LA-5-1/SaFT LS14250-1;LA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-7;LA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-6;LA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-5;LA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-4;LA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-3;LA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-2;LA-5-1/GB／T70．1-2000内六角圆柱头螺钉M2×4-1;LA-5-1/M2-5铜螺柱-3;LA-5-1/M2-5铜螺柱-2;LA-5-1/M2-5铜螺柱-1;LA-5-1/M2-4铜螺柱-4;LA-5-1/M2-4铜螺柱-3;LA-5-1/M2-4铜螺柱-2;LA-5-1/M2-4铜螺柱-1;LA-5-1/Drive_Interface_3_V1.0(3).step-1;LA-5-1/Drive_module_4_V1.0.step-1;LA-5-1/Ethercat_Converter_V1.1.step-1;LA-5-1/B6700.stp-1;LA-5-1/小臂上结构件-1;LA-5-1/腕俯仰连杆组合体-1;LA-5-1/左臂-连杆传动盘-1;LA-5-1/小臂磁吸座-3;LA-5-1/小臂磁吸座-2;LA-5-1/小臂磁吸座-1;LA-5-1/左臂-腕俯仰结构件-连杆盖板-1;LA-5-1/腕俯仰结构件-盖板-1;LA-5-1/左臂-小臂包覆外观-1;LA-5-1/C-SE676ZZ.stp-1;LA-5-1/左臂-腕俯仰结构件-随动-1;LA-5-1/D1型号关节V1.1-微改版-1,LArm Frame5,LArm Axis5,Wrist_Z_L,revolute,0,0,-0.068424,0,0,0,FOREARM_L,0,0,1,15,4.58,-2.96,2.96,,,,,,,,
WRIST_UPDOWN_L,0.00121060807931878,0.000367632697248155,1.31575604482848E-05,0,0,0,0.300586616809931,7.19516793467273E-05,8.07499162509748E-08,3.86112841277518E-08,4.1882900811556E-05,-1.57821190035867E-07,4.61879504954561E-05,0,0,0,0,0,0,package://RX-JUNE2/meshes/WRIST_UPDOWN_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RX-JUNE2/meshes/WRIST_UPDOWN_L.STL,,LA-6-1/左臂-腕滚动关节安装支架-1;LA-6-1/腕关节俯仰随动盘-2;LA-6-1/腕关节轴承支承盘-1;LA-6-1/D1型号关节V1.1-微改版-1,LArm Frame6,LArm Axis6,Wrist_Y_L,revolute,0,0,-0.20158,0,0,0,WRIST_REVOLUTE_L,0,1,0,7,3.62,-0.87,0.87,,,,,,,,
